id,sentiment,positive,negative,neutral
1,Positive,1,0,0
2,Positive,1,0,0
3,Positive,1,0,0
4,Positive,1,0,2
5,Positive,1,0,0
6,Neutral,0,0,2
7,Positive,1,0,1
8,Neutral,0,0,1
9,Positive,1,0,1
10,Mixed,1,2,0
11,Negative,0,1,0
12,Positive,1,0,1
13,Positive,1,0,1
14,Neutral,0,0,2
15,Positive,2,0,0
16,Positive,2,0,0
17,Positive,2,0,0
18,Neutral,0,0,1
19,Negative,0,1,0
20,Neutral,0,0,1
21,Mixed,2,1,0
22,Neutral,0,0,1
23,Positive,1,0,0
24,Mixed,2,1,0
25,Positive,1,0,0
26,Positive,2,0,0
27,Neutral,0,0,1
28,Neutral,0,0,1
29,Positive,1,0,0
30,Neutral,0,0,2
31,Positive,1,0,0
32,Positive,1,0,0
33,Negative,0,1,0
34,Positive,1,0,1
35,Positive,1,0,0
36,Neutral,0,0,1
37,Positive,4,0,0
38,Positive,1,0,1
39,Positive,1,0,0
40,Positive,1,0,0
41,Positive,1,0,1
42,Positive,1,0,0
43,Negative,0,1,1
44,Neutral,0,0,1
45,Neutral,0,0,1
46,Positive,1,0,1
47,Positive,1,0,1
48,Positive,1,0,0
49,Positive,2,0,0
50,Positive,1,0,0
51,Neutral,0,0,4
52,Positive,1,0,1
53,Positive,1,0,0
54,Neutral,0,0,1
55,Positive,1,0,0
56,Positive,1,0,0
57,Mixed,1,1,2
58,Neutral,0,0,1
59,Neutral,0,0,2
60,Neutral,0,0,2
61,Neutral,0,0,1
62,Positive,1,0,0
63,Positive,1,0,0
64,Positive,4,0,1
65,Positive,1,0,1
66,Positive,1,0,0
67,Positive,1,0,2
68,Negative,0,1,1
69,Positive,1,0,0
70,Neutral,0,0,2
71,Positive,2,0,0
72,Neutral,0,0,1
73,Neutral,0,0,1
74,Neutral,0,0,1
75,Neutral,0,0,1
76,Neutral,0,0,1
77,Mixed,1,1,1
78,Negative,0,1,1
79,Positive,1,0,1
80,Positive,2,0,0
81,Positive,1,0,1
82,Positive,1,0,0
83,Positive,1,0,0
84,Neutral,0,0,1
85,Positive,2,0,0
86,Negative,0,1,0
87,Negative,0,1,2
88,Positive,3,0,0
89,Neutral,0,0,2
90,Positive,1,0,0
91,Positive,1,0,0
92,Neutral,0,0,1
93,Neutral,0,0,1
94,Mixed,1,1,0
95,Neutral,0,0,1
96,Negative,0,1,0
97,Neutral,0,0,1
98,Positive,2,0,0
99,Positive,1,0,1
100,Positive,1,0,1
101,Positive,1,0,0
102,Negative,0,1,0
103,Positive,1,0,0
104,Neutral,0,0,1
105,Mixed,1,1,1
106,Positive,1,0,0
107,Neutral,0,0,1
108,Positive,1,0,0
109,Positive,2,0,1
110,Positive,1,0,2
111,Positive,1,0,0
112,Positive,1,0,1
113,Positive,2,0,0
114,Neutral,0,0,1
115,Positive,2,0,0
116,Neutral,0,0,1
117,Positive,1,0,0
118,Positive,1,0,1
119,Neutral,0,0,1
120,Mixed,1,1,0
121,Positive,1,0,1
122,Positive,1,0,1
123,Negative,0,1,0
124,Positive,1,0,0
125,Neutral,0,0,2
126,Negative,0,1,0
127,Neutral,0,0,1
128,Positive,1,0,0
129,Positive,1,0,1
130,Positive,1,0,0
131,Mixed,3,1,0
132,Neutral,0,0,1
133,Positive,1,0,0
134,Neutral,0,0,1
135,Neutral,0,0,1
136,Neutral,0,0,1
137,Positive,1,0,2
138,Positive,1,0,0
139,Positive,1,0,0
140,Positive,1,0,1
141,Neutral,0,0,1
142,Positive,1,0,0
143,Neutral,0,0,1
144,Negative,0,1,0
145,Positive,1,0,0
146,Mixed,1,1,0
147,Positive,1,0,0
148,Neutral,0,0,1
149,Mixed,1,1,1
150,Positive,1,0,2
151,Positive,2,0,2
152,Positive,2,0,2
153,Negative,0,1,3
154,Mixed,1,1,0
155,Positive,1,0,1
156,Positive,2,0,2
157,Positive,1,0,0
158,Positive,1,0,0
159,Negative,0,1,1
160,Positive,1,0,2
161,Positive,1,0,1
162,Positive,2,0,0
163,Positive,2,0,0
164,Neutral,0,0,1
165,Positive,1,0,1
166,Positive,1,0,1
167,Neutral,0,0,1
168,Mixed,1,1,0
169,Neutral,0,0,1
170,Neutral,0,0,1
171,Positive,2,0,0
172,Neutral,0,0,1
173,Positive,1,0,0
174,Positive,1,0,0
175,Positive,1,0,0
176,Positive,1,0,0
177,Negative,0,1,1
178,Positive,1,0,0
179,Neutral,0,0,1
180,Negative,0,1,0
181,Positive,1,0,1
